date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-02,NC,912,1391,1629
2020-07-02,ND,19,78,42
2020-07-02,NE,117,276,133
2020-07-02,NH,32,373,20
2020-07-02,NJ,1027,15107,428
2020-07-02,NM,127,500,129
2020-07-02,NV,662,525,632
2020-07-02,NY,878,24877,875
2020-07-02,OH,724,2903,1301
2020-07-02,OK,368,395,427
2020-07-02,OR,173,209,363
2020-07-02,PA,631,6712,832
2020-07-02,PR,97,153,71
2020-07-02,RI,67,959,59
2020-07-02,SC,1125,784,1782
2020-07-02,SD,64,97,67
2020-07-02,TN,949,620,1575
2020-07-02,TX,7382,2525,7915
2020-07-02,UT,229,176,554
2020-07-02,VA,888,1816,532
2020-07-02,VI,,6,2
2020-07-02,VT,21,56,17
2020-07-02,WA,311,1339,611
2020-07-02,WI,236,800,584
2020-07-02,WV,23,93,121
2020-07-02,WY,9,20,36
2020-07-01,AK,20,14,38
2020-07-01,AL,797,972,917
2020-07-01,AR,275,277,420
2020-07-01,AS,,0,0
2020-07-01,AZ,2876,1720,4877
2020-07-01,CA,6612,6090,9740
2020-07-01,CO,237,1520,204
2020-07-01,CT,100,4324,58
2020-07-01,DC,119,553,38
2020-07-01,DE,68,509,36
2020-07-01,FL,,3650,6563
2020-07-01,GA,1570,2827,2946
2020-07-01,GU,0,5,8
2020-07-01,HI,,18,17
2020-07-01,IA,149,717,444
2020-07-01,ID,42,92,365
2020-07-01,IL,1511,7152,828
2020-07-01,IN,668,2650,358
2020-07-01,KS,,272,547
2020-07-01,KY,427,572,218
2020-07-01,LA,799,3238,2083
2020-07-01,MA,760,8081,261
2020-07-01,MD,461,3205,359
2020-07-01,ME,29,105,41
2020-07-01,MI,471,6198,361
2020-07-01,MN,260,1482,413
2020-07-01,MO,592,1017,376
2020-07-01,MP,,2,0
2020-07-01,MS,786,1082,653
2020-07-01,MT,14,22,49
2020-07-01,NC,901,1373,1843
2020-07-01,ND,20,78,39
2020-07-01,NE,120,274,135
2020-07-01,NH,37,371,22
2020-07-01,NJ,1080,15078,261
2020-07-01,NM,127,497,165
2020-07-01,NV,630,511,645
2020-07-01,NY,879,24866,625
2020-07-01,OH,724,2876,1076
2020-07-01,OK,374,389,355
2020-07-01,OR,192,208,275
2020-07-01,PA,632,6649,636
2020-07-01,PR,121,153,72
2020-07-01,RI,69,956,65
2020-07-01,SC,1160,766,1520
2020-07-01,SD,65,93,62
2020-07-01,TN,955,609,1806
2020-07-01,TX,6904,2481,8076
2020-07-01,UT,261,173,499
2020-07-01,VA,892,1786,416
2020-07-01,VI,,6,6
2020-07-01,VT,17,56,2
2020-07-01,WA,288,1332,571
2020-07-01,WI,237,793,563
2020-07-01,WV,23,93,27
2020-07-01,WY,9,20,27
2020-06-30,AK,18,14,36
2020-06-30,AL,776,950,870
2020-06-30,AR,290,270,520
2020-06-30,AS,,0,0
2020-06-30,AZ,2793,1632,4682
2020-06-30,CA,6466,5980,6367
2020-06-30,CO,271,1508,204
2020-06-30,CT,98,4322,152
2020-06-30,DC,126,551,35
2020-06-30,DE,64,509,98
2020-06-30,FL,,3604,6093
2020-06-30,GA,1459,2805,1874
2020-06-30,GU,0,5,4
2020-06-30,HI,,18,1
2020-06-30,IA,133,715,225
2020-06-30,ID,42,91,433
2020-06-30,IL,1560,7124,724
2020-06-30,IN,695,2640,366
2020-06-30,KS,,270,0
2020-06-30,KY,408,565,277
2020-06-30,LA,781,3221,1014
2020-06-30,MA,733,8054,114
2020-06-30,MD,452,3190,305
2020-06-30,ME,29,105,34
2020-06-30,MI,471,6193,505
2020-06-30,MN,270,1476,442
2020-06-30,MO,599,1015,508
2020-06-30,MP,,2,0
2020-06-30,MS,779,1073,680
2020-06-30,MT,12,22,48
2020-06-30,NC,908,1343,1186
2020-06-30,ND,25,78,37
2020-06-30,NE,121,269,143
2020-06-30,NH,34,367,0
